Title,Address,Person,Telefon,Mobil,Fax,Kaufpreis,Geschätzte Monatsrate,Zimmer,Wohnfläche ca.,Tags,Typ,Etage,Etage Total,Schlafzimmer,Provision für Käufer,Hausgeld,Baujahr,Objektzustand,Heizungsart,Energieeffizienzklasse,Lage
Provisionsfreies Neubauprojekt: Mit TOP Preis-Leistung," 39112 Magdeburg, Leipziger Str.",,3088710177,015738828043,,180000,0,3,60,['Provisionsfrei'],,0,0,0,0,0,unbekannt,,,,"Die Landeshauptstadt Magdeburg des Landes Sachsen-Anhalt ist die größte Elbestadt zwischen Dresden und Hamburg und liegt inmitten der Kulturlandschaft Elbaue. Im Jahr 1882 wurde Magdeburg mit über 100.000 Einwohnern (momentan mit 235.723 Einwohnern) zur Großstadt. Die nächstgelegenen größeren Städte sind unter anderem, die Partnerstadt Braunschweig mit ca. 75 Kilometer westlich, Berlin mit 155,9 km und Potsdam mit 105 km östlich. Dazu liegen Halle und Leipzig 70 bzw. 100 km entfernt. Der bedeutende Industriestandort Wolfsburg befindet sich 64 km nordwestlich. Mit mehr als 10 Prozent Grünfläche gehört der Stadt Magdeburg der zweite Platz auf der Rangliste „Deutschlands grünste Städ-te"". Zu diesen Grünflächen gehört beispielsweise der beliebte Rotehornpark, der auf einer 200 Hektar großen Insel mitten in der Elbe liegt. 

"
Renovierte 2 Raum Wohnung in Stadfeld Ost,"Immermannstraße 26, 39108 Magdeburg, Stadtfeld Ost",,3916628630,01704968426,,89000,0,2,60,"['Balkon/ Terrasse', 'Keller']", Erdgeschosswohnung ,0,4,1,3.57,155,1995, Gepflegt , Zentralheizung ,,"Das Objekt befindet sich im Herzen von Stadtfeld. Die öffentlichen Verkehrsmittel (Bus und Straßenbahnen)sind fußläufig in 2 min zu erreichen. Im unmittelbaren Umfeld gibt es diverse Läden, Gaststätten und Dienstleistungseinrichtungen. Sport- und Erholungsmöglichkeiten sind ebenfalls ausreichend vorhanden."
,,,,,,0,0,0,0,,,0,0,0,0,0,,,,,
*** vermietete Eigentumswohnung *** 4 Zimmer mit Terrasse und Stellplatz in Stadtfeld West," 39110 Magdeburg, Stadtfeld West",,,015154296799,03036289056,135000,0,4,10701,"['Balkon/ Terrasse', 'Keller', 'Vermietet', 'Einbauküche']", Dachgeschoss ,3,3,0,12000.0,37261,1912,, Zentralheizung ,,"Stadtfeld-Ost
Der Stadtteil erfreut sich größter Beliebtheit. Hier gibt es reichlich Einkaufsmöglichkeiten, Bildungseinrichtungen aller Schulformen, Krippen und Kindergärten sowie Jugend- und Seniorentreffs. Fünf Straßenbahn- und drei Buslinien fahren durch den Stadtteil. Das Stadtzentrum ist somit in wenigen Minuten erreichbar.

"
*** vermietete Eigentumswohnung *** 2 Zimmer mit Balkon und Stellplatz in Stadtfeld West," 39110 Magdeburg, Stadtfeld West",,,015154296799,03036289056,62500,0,2,4976,"['Balkon/ Terrasse', 'Einbauküche']", Erdgeschosswohnung ,1,3,0,6000.0,18986,1912,, Zentralheizung ,,"Stadtfeld-West
Der Stadtteil erfreut sich größter Beliebtheit. Hier gibt es reichlich Einkaufsmöglichkeiten, Bildungseinrichtungen aller Schulformen, Krippen und Kindergärten sowie Jugend- und Seniorentreffs. Fünf Straßenbahn- und drei Buslinien fahren durch den Stadtteil. Das Stadtzentrum ist somit in wenigen Minuten erreichbar.

"
*** vermietete Eigentumswohnung *** 1 Zimmer mit Terrasse und Stellplatz in Stadtfeld West," 39110 Magdeburg, Stadtfeld West",,,015154296799,03036289056,49900,0,1,4001,"['Balkon/ Terrasse', 'Vermietet', 'Einbauküche']", Erdgeschosswohnung ,0,3,0,6000.0,15240,1912,, Zentralheizung ,,"Stadtfeld-West
Der Stadtteil erfreut sich größter Beliebtheit. Hier gibt es reichlich Einkaufsmöglichkeiten, Bildungseinrichtungen aller Schulformen, Krippen und Kindergärten sowie Jugend- und Seniorentreffs. Fünf Straßenbahn- und drei Buslinien fahren durch den Stadtteil. Das Stadtzentrum ist somit in wenigen Minuten erreichbar.

"
*** bezugsfreie Eigentumswohnung *** 1 Zimmer mit Balkon und Stellplatz in Stadtfeld West," 39110 Magdeburg, Stadtfeld West",Herr M. Azzaro,,015154296799,03036289056,55000,0,1,4756,"['Balkon/ Terrasse', 'Keller', 'Einbauküche']", Etagenwohnung ,2,3,0,6000.0,18368,1912,, Zentralheizung ,,"Stadtfeld-West
Der Stadtteil erfreut sich größter Beliebtheit. Hier gibt es reichlich Einkaufsmöglichkeiten, Bildungseinrichtungen aller Schulformen, Krippen und Kindergärten sowie Jugend- und Seniorentreffs. Fünf Straßenbahn- und drei Buslinien fahren durch den Stadtteil. Das Stadtzentrum ist somit in wenigen Minuten erreichbar.

"
Günstige Eigentumswohnung," 39112 Magdeburg, Sudenburg",,340533837,01798602933,,75000,0,2,45,['Einbauküche'],,1,0,1,7.14,142,1900, Vollständig renoviert , Zentralheizung ,,"Die Wohnung befindet sich im Stadtteil Sudenburg mit sehr guter Infrastruktur.
Verkehrsanbindung, Einkaufsmöglichkeiten in unmittelbarer Nähe, Einrichtungen der Kultur und Bildung sowie der ärztlichen Versorgung sind vorhanden."
Eigentumswohnung zum Verkauf," 39106 Magdeburg, Alte Neustadt",,3917441325,,03917441323,62000,0,2,40,"['Online-Besichtigung möglich', 'Vermietet', 'Einbauküche']", Etagenwohnung ,1,4,1,5.0,0,, Neuwertig , Zentralheizung ,,"Ihr neues Zuhause befindet sich im Stadtteil Alte Neustadt. In direkter Nachbarschaft zur Altstadt leben Sie hier am Puls der Landeshauptstadt. 
Die Universität und den Wissenschaftshafen in direkter Nachbarschaft ist diese Lage besonders für Studenten sehr gut geeignet. 
Natürlich stehen Ihnen diverse Einkaufsmöglichkeiten, Restaurants, diverse Bars sowie die üblichen sehr guten Nahverkehrsverbindungen zur Verfügung."
Ihre Kapitalanlage im Hopfengarten ," 39120 Magdeburg, Hopfengarten",,3916229382,017663463105,003916229383,96000,0,2,47,"['Balkon/ Terrasse', 'Vermietet', 'Einbauküche']", Etagenwohnung ,2,0,0,7.14,35,1996,, Gas-Heizung ,,"Die Wohnung befindet sich im Stadtteil Hopfengarten und ist in einer ruhigen Wohnlage gelegen. In wenigen Gehminuten erreichen Sie öffentliche Verkehrsmittel und sind schnell in der Innenstadt.
In unmittelbarer Umgebung befinden sich Geschäfte des täglichen Bedarfs, Kindergärten, Schulen, Ärzte und öffentliche Einrichtungen. "
Schöne 2-Zimmer-Erdgeschosswohnung," 39124 Magdeburg, Neue Neustadt",,,015229779000,,84932,0,2,68,"['Balkon/ Terrasse', 'Vermietet']", Erdgeschosswohnung ,0,0,1,6.96,234,1910, Gepflegt , Zentralheizung , E ,"Die Wohnung befindet sich im Stadtteil "" Neue Neustadt"", die Umgebung ist durch Mehrfamilienhäuser geprägt. Gute Infrastruktur - Einkaufsmöglichkeiten, Kindereinrichtungen, Schulen in der Nähe"
Penthouse DG-Eigentumswohnung - projektiertes Sanierungsobjekt in sehr guter Lage - Denkmal," 39104 Magdeburg-Bukau, Buckau",,54049580894,016096315122,054049580895,469500,0,5,14395,"['Balkon/ Terrasse', 'Personenaufzug', 'Gäste-WC', 'Als Ferienwohnung geeignet']", Penthouse ,3,3,3,5.95,0,1890, Erstbezug nach Sanierung , Zentralheizung ,,"Sehr gute Lage in unmittelbarer Nähe zum Zentrum Magdeburgs
Das Elbufer ist fußläufig in ca. 5 Minuten zu erreichen
Sämtliche Geschäfte, Schulen, Ärzte, Kindergärten sind fußläufig zu erreichen
Der Stadtteil Buckau verfügt zudem über eine hervorragende Infrastruktur.

Infrastruktur (im Umkreis von 5 km):
Apotheke, Lebensmittel-Discount, Allgemeinmediziner, Kindergarten, Grundschule, Hauptschule, Realschule, Gymnasium, Öffentliche Verkehrsmittel."
1. OG-Eigentumswohnung - projektiertes Sanierungsobjekt in sehr guter Lage - Denkmal," 39104 Magdeburg-Buckau, Magdeburg",,54049580894,016096315122,054049580895,249500,0,3,8228,"['Balkon/ Terrasse', 'Personenaufzug', 'Als Ferienwohnung geeignet']", Etagenwohnung ,1,3,1,5.95,0,1890, Erstbezug nach Sanierung , Zentralheizung ,,"Sehr gute Lage in unmittelbarer Nähe zum Zentrum Magdeburgs
Das Elbufer ist fußläufig in ca. 5 Minuten zu erreichen
Sämtliche Geschäfte, Schulen, Ärzte, Kindergärten sind fußläufig zu erreichen
Der Stadtteil Buckau verfügt zudem über eine hervorragende Infrastruktur.

Infrastruktur (im Umkreis von 5 km):
Apotheke, Lebensmittel-Discount, Allgemeinmediziner, Kindergarten, Grundschule, Hauptschule, Realschule, Gymnasium, Öffentliche Verkehrsmittel."
EG-Eigentumswohnung - projektiertes Sanierungsobjekt in sehr guter Lage - Denkmal," 39104 Magdeburg-Bukau, Buckau",Herr Karl-Heinrich Bensieck,54049580894,016096315122,054049580895,149500,0,2,5214,"['Balkon/ Terrasse', 'Personenaufzug', 'Als Ferienwohnung geeignet']", Erdgeschosswohnung ,1,3,1,5.95,0,1890, Erstbezug nach Sanierung , Zentralheizung ,,"Sehr gute Lage in unmittelbarer Nähe zum Zentrum Magdeburgs
Das Elbufer ist fußläufig in ca. 5 Minuten zu erreichen
Sämtliche Geschäfte, Schulen, Ärzte, Kindergärten sind fußläufig zu erreichen
Der Stadtteil Buckau verfügt zudem über eine hervorragende Infrastruktur.

Infrastruktur (im Umkreis von 5 km):
Apotheke, Lebensmittel-Discount, Allgemeinmediziner, Kindergarten, Grundschule, Hauptschule, Realschule, Gymnasium, Öffentliche Verkehrsmittel."
